timestamp,open,high,low,close,volume
2026-01-01T00:00:00Z,100,100,100,100,10
2026-01-01T00:01:00Z,100,100,100,100,10
2026-01-01T00:02:00Z,100,100,100,100,10
2026-01-01T00:03:00Z,100,100,100,100,10
2026-01-01T00:04:00Z,100,100,100,100,10
2026-01-01T00:05:00Z,102,104,101,104,12
2026-01-01T00:06:00Z,104,106,103,106,12
2026-01-01T00:07:00Z,106,107,103,103,12
2026-01-01T00:08:00Z,103,104,99,99,12
2026-01-01T00:09:00Z,99,100,95,96,12
2026-01-01T00:10:00Z,96,97,94,95,12
2026-01-01T00:11:00Z,95,99,94,99,12
